"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","countries","in_focal","percent_records","cumulative_percent","note"
"Cricetus cricetus","Rodentia","Cricetidae",27,16,16,"1924 - 2026",2026,7,"KZ",TRUE,0.36,87.8,""
"Rattus sp.","Rodentia","Muridae",27,27,4,"1925 - 2007",2007,3,"KG, UZ",FALSE,0.36,88.2,""
"Microtus arvalis","Rodentia","Cricetidae",26,6,2,"1894 - 2007",2007,5,"KG, KZ",TRUE,0.35,88.5,""
"Mus sp.","Rodentia","Muridae",25,21,6,"1923 - 2012",2012,5,"KG, KZ",TRUE,0.33,88.9,""
"Jaculus blanfordi","Rodentia","Dipodidae",24,12,4,"1966 - 1989",1989,4,"TM, UZ",FALSE,0.32,89.2,""
"Sorex tundrensis","Eulipotyphla","Soricidae",24,3,2,"2016 - 2016",2016,4,"KZ",TRUE,0.32,89.5,""
"Allocricetulus sp.","Rodentia","Cricetidae",23,21,5,"1970 - 2007",2007,4,"KZ, TJ",TRUE,0.31,89.8,""
"Spermophilus sp.","Rodentia","Sciuridae",23,22,20,"1882 - 2024",2024,13,"KG, KZ, TM, UZ",TRUE,0.31,90.1,""
"Urocitellus undulatus","Rodentia","Sciuridae",22,21,16,"1967 - 2026",2026,4,"KZ",TRUE,0.29,90.4,""
"Allactaga severtzovi","Rodentia","Dipodidae",21,13,7,"1915 - 2026",2026,6,"KZ, UZ",TRUE,0.28,90.7,""
"Sorex asper","Eulipotyphla","Soricidae",21,0,0,"1904 - 1962",1962,2,"KG, KZ",TRUE,0.28,91,"collection records only, none georeferenced"
"Alticola sp.","Rodentia","Cricetidae",20,20,10,"1925 - 2009",2009,6,"KG, KZ, TJ, UZ",TRUE,0.27,91.2,""
"Lagurus lagurus","Rodentia","Cricetidae",20,6,5,"1911 - 2021",2021,5,"KG, KZ",TRUE,0.27,91.5,""
"Allactaga sibirica","Rodentia","Dipodidae",19,8,6,"2007 - 2016",2016,5,"KG, KZ",TRUE,0.25,91.8,""
"Ellobius sp.","Rodentia","Cricetidae",19,5,4,"1912 - 1970",1970,6,"KG, KZ, TJ, TM",TRUE,0.25,92,""
"Muridae","Rodentia","Muridae",18,0,0,"1929 - 1929",1929,2,"KZ",TRUE,0.24,92.3,"collection records only, none georeferenced"
"Spermophilus erythrogenys","Rodentia","Sciuridae",17,14,11,"1956 - 2026",2026,4,"KZ",TRUE,0.23,92.5,""
"Ochotona macrotis","Lagomorpha","Ochotonidae",16,16,12,"1970 - 2023",2023,5,"KG, KZ, TJ",TRUE,0.21,92.7,""
"Paraechinus hypomelas","Eulipotyphla","Erinaceidae",16,12,11,"1978 - 2025",2025,6,"KZ, TM, UZ",TRUE,0.21,92.9,""
"Phodopus sp.","Rodentia","Cricetidae",16,9,4,"1911 - 1967",1967,2,"KZ, TJ",TRUE,0.21,93.1,""
"Castor fiber","Rodentia","Castoridae",15,15,11,"2012 - 2026",2026,3,"KZ",TRUE,0.2,93.3,""
"Diplomesodon pulchellus","Eulipotyphla","Soricidae",15,7,7,"1934 - 2024",2024,6,"KZ, TM, UZ",TRUE,0.2,93.5,""
"Myocastor coypus","Rodentia","Echimyidae",15,15,11,"2022 - 2025",2025,6,"KG, KZ, TJ, UZ",TRUE,0.2,93.7,""
"Microtus socialis","Rodentia","Cricetidae",14,2,2,"1929 - 2016",2016,5,"KZ, TM",TRUE,0.19,93.9,""
"Arvicola amphibius","Rodentia","Cricetidae",13,2,2,"1913 - 2022",2022,2,"KZ",TRUE,0.17,94.1,""
