species,genus,family,zoonotic_priority,body_mass_category,n_records,rank,cumulative_prop
Eumys asiaticus,Eumys,Muridae,LOW,Unknown,1,100,0.9896404631322364
Geitonomys bouvites,Geitonomys,Chapattimyidae,LOW,Unknown,1,101,0.9902498476538696
Heterosminthus firmus,Heterosminthus,Dipodidae,LOW,Unknown,1,102,0.9908592321755028
Karydomys dzerzhinskii,Karydomys,Cricetidae,LOW,Unknown,1,103,0.9914686166971359
Micromys minutus,Micromys,Muridae,LOW,Unknown,1,104,0.992078001218769
Microtus ilaeus,Microtus,Cricetidae,HIGH - Hantavirus,Small (20-50g),1,105,0.9926873857404022
Myocastor coypus,Myocastor,Myocastoridae,LOW,Unknown,1,106,0.9932967702620353
Myopus schisticolor,Myopus,Cricetidae,LOW,Unknown,1,107,0.9939061547836685
Myospalax myospalax,Myospalax,Spalacidae,LOW,Unknown,1,108,0.9945155393053017
Paramys obailensis,Paramys,Ischyromyidae,LOW,Unknown,1,109,0.9951249238269348
Plesiosminthus tereskentensis,Plesiosminthus,Dipodidae,LOW,Unknown,1,110,0.9957343083485679
Propalaeocastor shevyrevae,Propalaeocastor,Castoridae,LOW,Unknown,1,111,0.9963436928702011
Prosciurus daxnerae,Prosciurus,Aplodontiidae,LOW,Unknown,1,112,0.9969530773918343
Pygeretmus platyurus,Pygeretmus,Dipodidae,LOW,Unknown,1,113,0.9975624619134674
Spermophilus ralli,Spermophilus,Sciuridae,LOW,Large (150-250g),1,114,0.9981718464351006
Steneofiber depereti,Steneofiber,Castoridae,LOW,Unknown,1,115,0.9987812309567337
Tamquammys tantillus,Tamquammys,Chapattimyidae,LOW,Unknown,1,116,0.9993906154783668
Ulkenulastomys abrotos,Ulkenulastomys,Dipodidae,LOW,Unknown,1,117,1
